小区,区域,面积,总价,单价,户型,楼层,总楼层,朝向,装修,建成年代,关注人数,带看次数
小区9,天心区,126.4,112.5,8903.0,3室2厅,23,22,北,,2005,38,6.0
小区70,雨花区,131.1,103.1,7862.0,2室2厅,2,7,北,简装,2007,41,
小区12,芙蓉区,51.7,56.4,10911.0,4室2厅,27,28,西南,毛坯,2012,40,7.0
小区56,天心区,138.1,172.9,12518.0,2室1厅,27,32,西,精装,2021,37,
小区11,岳麓区,82.3,81.7,9930.0,3室1厅,2,7,,精装,2003,41,9.0
小区10,岳麓区,142.0,153.2,10787.0,2室2厅,2,10,东南,简装,2009,39,6.0
小区62,长沙县,124.8,81.7,6544.0,3室2厅,1,8,西,精装,2010,42,11.0
小区23,望城区,100.4,69.5,6918.0,1室1厅,18,26,北,简装,2007,31,10.0
小区16,长沙县,174.6,112.2,6426.0,3室2厅,18,26,西,精装,2019,31,9.0
小区72,长沙县,136.2,97.1,7130.0,2室2厅,15,19,西南,精装,2010,40,6.0
小区19,芙蓉区,106.1,140.2,13214.0,4室2厅,2,8,南,精装,2021,56,12.0
小区7,芙蓉区,113.7,158.7,13958.0,2室2厅,6,7,东,精装,2013,32,4.0
小区75,长沙县,189.5,88.4,4663.0,2室1厅,32,20,西南,简装,2006,40,13.0
小区41,芙蓉区,154.6,198.6,12847.0,3室1厅,2,11,西,毛坯,2023,50,
小区20,天心区,138.2,131.4,9508.0,2室1厅,6,11,西,简装,2007,40,5.0
小区25,天心区,112.5,125.3,11141.0,3室2厅,15,25,西,简装,2016,40,7.0
小区42,长沙县,124.7,65.9,5284.0,1室1厅,1,8,北,简装,2005,38,6.0
小区6,岳麓区,110.2,108.9,9885.0,2室2厅,4,10,南,精装,2003,55,3.0
小区65,天心区,51.6,62.5,12122.0,4室2厅,31,23,南,简装,2009,47,6.0
小区59,天心区,136.0,150.0,11033.0,2室1厅,17,32,西,精装,2021,44,6.0
小区48,开福区,119.5,125.7,10523.0,2室2厅,24,32,东,精装,2014,40,7.0
小区76,雨花区,57.7,60.5,10477.0,3室1厅,31,27,北,,2016,27,12.0
小区36,望城区,82.5,65.0,7884.0,3室2厅,15,28,西,简装,2015,32,6.0
小区10,雨花区,96.3,95.7,9940.0,3室2厅,32,27,南,简装,2013,45,8.0
小区24,长沙县,116.4,70.2,6028.0,3室2厅,19,26,南,简装,2014,31,7.0
小区23,芙蓉区,165.5,121.3,7332.0,4室2厅,17,27,西,毛坯,2003,29,
小区44,开福区,105.6,113.7,10769.0,4室2厅,2,9,西南,精装,2017,31,8.0
小区73,开福区,40.0,38.0,9501.0,1室1厅,11,20,东,毛坯,2006,31,13.0
小区72,雨花区,127.7,109.4,8564.0,2室1厅,16,29,,简装,2014,42,4.0
小区51,芙蓉区,99.1,120.0,12111.0,2室1厅,29,18,北,简装,2016,44,5.0
小区7,天心区,44.0,61.1,13897.0,2室1厅,32,24,东南,精装,2018,45,7.0
小区14,开福区,40.0,37.0,9253.0,3室2厅,17,25,南,简装,2007,32,6.0
小区22,芙蓉区,67.7,77.8,11486.0,3室2厅,29,21,南,精装,2013,48,6.0
小区26,长沙县,118.2,75.9,6425.0,3室2厅,21,33,西,毛坯,2019,37,9.0
小区72,雨花区,78.5,70.2,8937.0,2室1厅,20,18,西南,简装,2002,40,8.0
小区56,望城区,126.0,84.8,6730.0,3室2厅,25,21,北,精装,2006,42,8.0
小区38,开福区,95.2,97.9,10286.0,4室2厅,24,23,东南,精装,2005,41,12.0
小区66,雨花区,111.4,102.1,9165.0,2室2厅,12,22,西,简装,2018,46,6.0
小区55,岳麓区,129.6,178.5,13772.0,2室2厅,24,29,西,简装,2023,29,
小区40,岳麓区,125.3,128.8,10278.0,2室2厅,2,6,南,毛坯,2017,41,6.0
小区33,芙蓉区,68.2,91.8,13462.0,4室2厅,13,24,东,精装,2022,43,4.0
小区32,天心区,172.5,180.2,10445.0,3室2厅,3,8,西,简装,2008,42,8.0
小区43,望城区,40.0,34.5,8615.0,2室2厅,27,18,西,精装,2019,35,8.0
小区58,开福区,98.4,85.9,8732.0,2室1厅,1,10,北,毛坯,2013,35,9.0
小区37,望城区,69.2,59.0,8526.0,3室2厅,14,23,东南,精装,2021,45,12.0
小区22,天心区,146.7,136.4,9301.0,2室1厅,27,31,东,简装,2022,54,10.0
小区50,望城区,59.1,52.8,8930.0,2室2厅,11,20,东南,简装,2020,38,7.0
小区7,长沙县,68.8,45.6,6625.0,3室2厅,30,31,,精装,2007,46,12.0
小区39,望城区,65.1,54.5,8376.0,2室2厅,9,27,南,简装,2023,32,6.0
小区10,天心区,56.8,68.5,12060.0,2室1厅,13,31,西,精装,2019,38,6.0
小区29,岳麓区,85.0,113.0,13290.0,1室1厅,1,11,东,精装,2017,52,8.0
小区60,天心区,111.3,128.4,11532.0,1室1厅,3,10,东,精装,2014,47,7.0
小区66,望城区,71.1,56.2,7911.0,3室1厅,6,8,东,精装,2015,38,6.0
小区23,望城区,45.7,34.3,7505.0,3室2厅,2,9,西,简装,2006,42,5.0
小区11,开福区,95.2,81.9,8602.0,3室2厅,1,7,北,简装,2006,38,10.0
